name,prompts_count,volume,volume_trend,intents
Louça suja na pia,17,797,90;100;100;81;74;77;77;77;77;77;77;77,task:8;informational:75;navigational:5;commercial:7;transactional:5
Escovas para lavar louça,15,651,34;57;57;52;51;54;50;41;41;91;100;81,task:10;informational:47;navigational:5;commercial:23;transactional:15
Panelas para lava-louças,46,12385,26;32;49;62;93;94;95;94;100;100;100;100,task:5;informational:61;navigational:6;commercial:19;transactional:9
Limpeza de Louças e Placas,22,1370,59;80;82;81;83;83;84;88;92;100;92;91,task:10;informational:74;navigational:5;commercial:6;transactional:5
Lava-louças com função de higienizar,30,3674,24;33;43;72;78;74;74;100;72;73;84;85,task:2;informational:63;navigational:5;commercial:22;transactional:8
lava-louças 16 serviços,18,1621,33;39;44;40;74;74;77;89;77;72;68;100,task:2;informational:48;navigational:6;commercial:34;transactional:10
Sabão e Detergente para Lava-Louças,73,44030,17;19;24;83;100;100;100;97;78;78;78;77,task:2;informational:53;navigational:2;commercial:33;transactional:10
Lava-louças industriais,19,2718,39;48;50;44;91;95;96;100;93;93;93;92,task:5;informational:54;navigational:4;commercial:32;transactional:5
Lava-louças: guias e marcas,422,204827,37;38;53;71;100;100;100;84;69;69;69;69,task:2;informational:59;navigational:4;commercial:27;transactional:8
Lava-Louças Portátil,34,11938,92;100;49;44;39;39;39;43;43;43;43;43,task:5;informational:40;navigational:7;commercial:34;transactional:14
Luvas para lavar louça,21,2826,79;90;91;84;92;94;94;100;95;95;92;92,task:10;informational:53;navigational:3;commercial:26;transactional:8
Louças e porcelanas para casa,23,40236,27;28;29;93;99;99;99;100;100;100;100;100,task:2;informational:38;navigational:7;commercial:44;transactional:9
Lava-louças Brastemp,154,51660,36;37;42;70;76;76;76;100;83;83;83;83,task:2;informational:56;navigational:11;commercial:18;transactional:13
Lava-Louças e Máquinas de Lavar Louça (10 serviços),36,9666,50;53;25;100;28;29;29;27;27;27;27;27,task:5;informational:51;navigational:5;commercial:31;transactional:8
Buchas e Esponjas para Lavar Louça,32,7383,39;49;52;77;81;82;83;100;89;89;89;88,task:5;informational:50;navigational:5;commercial:30;transactional:10
Limpeza Eficiente,17,142,84;89;93;79;79;80;81;93;92;89;89;100,task:7;informational:74;navigational:5;commercial:10;transactional:4
Lava-Louças 14 Serviços,33,8435,85;91;44;45;71;72;72;100;62;62;62;61,task:2;informational:54;navigational:4;commercial:28;transactional:12
Lavagem de Carro,19,11567,100;98;51;49;83;84;83;85;85;85;85;85,task:2;informational:60;navigational:5;commercial:19;transactional:14
